[framework] 2016-11-29 11:44:08,109 - hxlife_award.saleActivated -5    [http-bio-8080-exec-6] INFO  hxlife_award.saleActivated  - 50:saleCodeSign=111111111,salePasswordSign=111111,saleRePasswordSign=111111,saleQuestionSign=111111,saleAnswerSign=111111;
[framework] 2016-11-29 11:44:08,110 - hxlife_award.mysqlAction -6    [http-bio-8080-exec-6] INFO  hxlife_award.mysqlAction  - 50:drive=com.mysql.jdbc.Driver
[framework] 2016-11-29 11:44:08,113 - hxlife_award.mysqlAction -9    [http-bio-8080-exec-6] INFO  hxlife_award.mysqlAction  - 50:url=jdbc:mysql://localhost:3306/hxlife_award?useUnicode=true&characterEncoding=utf8,usr=root,pwd=abcd123%;
[framework] 2016-11-29 11:44:14,714 - hxlife_award.forgetPassword -6610 [http-bio-8080-exec-6] INFO  hxlife_award.forgetPassword  - 50:saleForgetPasswordCode=111111111;
[framework] 2016-11-29 11:44:14,715 - hxlife_award.mysqlAction -6611 [http-bio-8080-exec-6] INFO  hxlife_award.mysqlAction  - 50:drive=com.mysql.jdbc.Driver
[framework] 2016-11-29 11:44:14,716 - hxlife_award.mysqlAction -6612 [http-bio-8080-exec-6] INFO  hxlife_award.mysqlAction  - 50:url=jdbc:mysql://localhost:3306/hxlife_award?useUnicode=true&characterEncoding=utf8,usr=root,pwd=abcd123%;
[framework] 2016-11-29 11:44:16,961 - hxlife_award.getPassword -8857 [http-bio-8080-exec-6] INFO  hxlife_award.getPassword  - 50:saleForgetPasswordCode=111111111,saleForgetPasswordAnswer=111111;
[framework] 2016-11-29 11:44:16,963 - hxlife_award.mysqlAction -8859 [http-bio-8080-exec-6] INFO  hxlife_award.mysqlAction  - 50:drive=com.mysql.jdbc.Driver
[framework] 2016-11-29 11:44:16,964 - hxlife_award.mysqlAction -8860 [http-bio-8080-exec-6] INFO  hxlife_award.mysqlAction  - 50:url=jdbc:mysql://localhost:3306/hxlife_award?useUnicode=true&characterEncoding=utf8,usr=root,pwd=abcd123%;
[framework] 2016-11-29 11:44:42,137 - hxlife_award.award -34033 [http-bio-8080-exec-6] INFO  hxlife_award.award  - 50:salecode=111111111,usercode=Ëï,usertel=13951905973,check=1111;
[framework] 2016-11-29 11:44:42,138 - hxlife_award.mysqlAction -34034 [http-bio-8080-exec-6] INFO  hxlife_award.mysqlAction  - 50:drive=com.mysql.jdbc.Driver
[framework] 2016-11-29 11:44:42,138 - hxlife_award.mysqlAction -34034 [http-bio-8080-exec-6] INFO  hxlife_award.mysqlAction  - 50:url=jdbc:mysql://localhost:3306/hxlife_award?useUnicode=true&characterEncoding=utf8,usr=root,pwd=abcd123%;
[framework] 2016-11-29 11:44:42,168 - hxlife_award.getAward -34064 [http-bio-8080-exec-6] INFO  hxlife_award.getAward  - 50:saleCode=111111111,award=5,usetel=13951905973;
[framework] 2016-11-29 11:44:42,170 - hxlife_award.mysqlAction -34066 [http-bio-8080-exec-6] INFO  hxlife_award.mysqlAction  - 50:drive=com.mysql.jdbc.Driver
[framework] 2016-11-29 11:44:42,170 - hxlife_award.mysqlAction -34066 [http-bio-8080-exec-6] INFO  hxlife_award.mysqlAction  - 50:url=jdbc:mysql://localhost:3306/hxlife_award?useUnicode=true&characterEncoding=utf8,usr=root,pwd=abcd123%;
[framework] 2016-11-29 11:44:58,839 - hxlife_award.getPassword -50735 [http-bio-8080-exec-6] INFO  hxlife_award.getPassword  - 50:userTelephone=13951905973,userLoginCheck=1111;
[framework] 2016-11-29 11:44:58,840 - hxlife_award.mysqlAction -50736 [http-bio-8080-exec-6] INFO  hxlife_award.mysqlAction  - 50:drive=com.mysql.jdbc.Driver
[framework] 2016-11-29 11:44:58,840 - hxlife_award.mysqlAction -50736 [http-bio-8080-exec-6] INFO  hxlife_award.mysqlAction  - 50:url=jdbc:mysql://localhost:3306/hxlife_award?useUnicode=true&characterEncoding=utf8,usr=root,pwd=abcd123%;
[framework] 2016-11-29 11:45:29,614 - hxlife_award.question -81510 [http-bio-8080-exec-4] INFO  hxlife_award.question  - 47:userTelephone=13951905973,userLoginCheck=1111,name=Ëï,saleCode=111111111,question1=1,question2=1,question3=2,question4=1;
[framework] 2016-11-29 11:45:29,615 - hxlife_award.mysqlAction -81511 [http-bio-8080-exec-4] INFO  hxlife_award.mysqlAction  - 47:drive=com.mysql.jdbc.Driver
[framework] 2016-11-29 11:45:29,615 - hxlife_award.mysqlAction -81511 [http-bio-8080-exec-4] INFO  hxlife_award.mysqlAction  - 47:url=jdbc:mysql://localhost:3306/hxlife_award?useUnicode=true&characterEncoding=utf8,usr=root,pwd=abcd123%;
[framework] 2016-11-29 11:45:49,170 - hxlife_award.getPassword -101066 [http-bio-8080-exec-4] INFO  hxlife_award.getPassword  - 47:saleCode=111111111,salePassword=111111;
[framework] 2016-11-29 11:45:49,171 - hxlife_award.mysqlAction -101067 [http-bio-8080-exec-4] INFO  hxlife_award.mysqlAction  - 47:drive=com.mysql.jdbc.Driver
[framework] 2016-11-29 11:45:49,171 - hxlife_award.mysqlAction -101067 [http-bio-8080-exec-4] INFO  hxlife_award.mysqlAction  - 47:url=jdbc:mysql://localhost:3306/hxlife_award?useUnicode=true&characterEncoding=utf8,usr=root,pwd=abcd123%;
[framework] 2016-11-29 11:45:49,530 - hxlife_award.getPassword -101426 [http-bio-8080-exec-7] INFO  hxlife_award.getPassword  - 51:saleCode=111111111;
[framework] 2016-11-29 11:45:49,530 - hxlife_award.mysqlAction -101426 [http-bio-8080-exec-7] INFO  hxlife_award.mysqlAction  - 51:drive=com.mysql.jdbc.Driver
[framework] 2016-11-29 11:45:49,531 - hxlife_award.mysqlAction -101427 [http-bio-8080-exec-7] INFO  hxlife_award.mysqlAction  - 51:url=jdbc:mysql://localhost:3306/hxlife_award?useUnicode=true&characterEncoding=utf8,usr=root,pwd=abcd123%;
[framework] 2016-11-29 11:46:09,246 - hxlife_award.getPassword -121142 [http-bio-8080-exec-7] INFO  hxlife_award.getPassword  - 47:saleCode=123456789,salePassword=123456;
[framework] 2016-11-29 11:46:09,247 - hxlife_award.mysqlAction -121143 [http-bio-8080-exec-7] INFO  hxlife_award.mysqlAction  - 51:drive=com.mysql.jdbc.Driver
[framework] 2016-11-29 11:46:09,247 - hxlife_award.mysqlAction -121143 [http-bio-8080-exec-7] INFO  hxlife_award.mysqlAction  - 51:url=jdbc:mysql://localhost:3306/hxlife_award?useUnicode=true&characterEncoding=utf8,usr=root,pwd=abcd123%;
[framework] 2016-11-29 11:46:09,388 - hxlife_award.getPassword -121284 [http-bio-8080-exec-10] INFO  hxlife_award.getPassword  - 51:saleCode=123456789;
[framework] 2016-11-29 11:46:09,389 - hxlife_award.mysqlAction -121285 [http-bio-8080-exec-10] INFO  hxlife_award.mysqlAction  - 54:drive=com.mysql.jdbc.Driver
[framework] 2016-11-29 11:46:09,389 - hxlife_award.mysqlAction -121285 [http-bio-8080-exec-10] INFO  hxlife_award.mysqlAction  - 54:url=jdbc:mysql://localhost:3306/hxlife_award?useUnicode=true&characterEncoding=utf8,usr=root,pwd=abcd123%;
